Word,Unmarked,Non Queer,Queer,MaxScore,MaxCategory
master,0.005,0.0,0.0,0.005,Unmarked
priority,0.005,0.002,0.0,0.005,Unmarked
heroine,0.0,0.005,0.0,0.005,Non Queer
sailor,0.005,0.0,0.002,0.005,Unmarked
soul,0.0,0.0,0.005,0.005,Queer
agent,0.005,0.002,0.0,0.005,Unmarked
adhere,0.0,0.005,0.0,0.005,Non Queer
adventuring,0.0,0.005,0.0,0.005,Non Queer
subordinate,0.005,0.0,0.002,0.005,Unmarked
bro,0.0,0.005,0.0,0.005,Non Queer
loon,0.005,0.0,0.0,0.005,Unmarked
burden,0.005,0.0,0.002,0.005,Unmarked
something,0.005,0.0,0.002,0.005,Unmarked
acquaintance,0.005,0.0,0.0,0.005,Unmarked
heterogeneous,0.0,0.005,0.0,0.005,Non Queer
nation,0.005,0.0,0.0,0.005,Unmarked
privilege,0.005,0.002,0.0,0.005,Unmarked
revolutionary,0.0,0.0,0.005,0.005,Queer
privileged,0.0,0.005,0.0,0.005,Non Queer
allrounder,0.0,0.0,0.005,0.005,Queer
problems,0.005,0.002,0.0,0.005,Unmarked
situation,0.005,0.0,0.0,0.005,Unmarked
rogue,0.005,0.0,0.0,0.005,Unmarked
bigendered,0.0,0.0,0.005,0.005,Queer
aromancer,0.0,0.0,0.005,0.005,Queer
bard,0.0,0.0,0.005,0.005,Queer
interpreter,0.0,0.005,0.0,0.005,Non Queer
pursue,0.0,0.0,0.005,0.005,Queer
intrigue,0.0,0.005,0.0,0.005,Non Queer
background,0.005,0.0,0.0,0.005,Unmarked
bachelor,0.0,0.005,0.0,0.005,Non Queer
warrior,0.0,0.0,0.005,0.005,Queer
authentic,0.0,0.005,0.0,0.005,Non Queer
rascal,0.005,0.0,0.0,0.005,Unmarked
wanderer,0.0,0.0,0.005,0.005,Queer
jog,0.0,0.005,0.0,0.005,Non Queer
romance,0.0,0.004,0.005,0.005,Queer
karaoke,0.0,0.0,0.005,0.005,Queer
justice,0.0,0.005,0.0,0.005,Non Queer
sponge,0.0,0.005,0.0,0.005,Non Queer
assist,0.0,0.005,0.0,0.005,Non Queer
beloved,0.0,0.005,0.0,0.005,Non Queer
billionaire,0.005,0.004,0.003,0.005,Unmarked
music,0.005,0.0,0.004,0.005,Unmarked
ignoring,0.0,0.005,0.0,0.005,Non Queer
like,0.0,0.0,0.005,0.005,Queer
hostage,0.0,0.005,0.0,0.005,Non Queer
spanish,0.0,0.005,0.0,0.005,Non Queer
speak,0.005,0.002,0.0,0.005,Unmarked
boor,0.0,0.005,0.0,0.005,Non Queer
wingman,0.0,0.005,0.0,0.005,Non Queer
mus,0.005,0.0,0.0,0.005,Unmarked
housewife,0.0,0.005,0.0,0.005,Non Queer
bookworm,0.0,0.005,0.0,0.005,Non Queer
straightforward,0.0,0.005,0.0,0.005,Non Queer
legend,0.005,0.0,0.0,0.005,Unmarked
blessing,0.0,0.0,0.005,0.005,Queer
animal,0.005,0.0,0.0,0.005,Unmarked
whisper,0.0,0.005,0.0,0.005,Non Queer
multitask,0.005,0.0,0.0,0.005,Unmarked
idealistic,0.0,0.0,0.005,0.005,Queer
anomalous,0.0,0.005,0.0,0.005,Non Queer
dramaqueen,0.0,0.0,0.005,0.005,Queer
responsible,0.005,0.0,0.0,0.005,Unmarked
foreigner,0.005,0.0,0.0,0.005,Unmarked
community,0.0,0.0,0.005,0.005,Queer
pariah,0.0,0.0,0.005,0.005,Queer
talent,0.0,0.0,0.005,0.005,Queer
deviant,0.0,0.004,0.005,0.005,Queer
seduce,0.0,0.0,0.005,0.005,Queer
trespasser,0.005,0.0,0.0,0.005,Unmarked
earned,0.0,0.005,0.0,0.005,Non Queer
feel,0.0,0.0,0.005,0.005,Queer
planning,0.005,0.0,0.0,0.005,Unmarked
failure,0.0,0.004,0.005,0.005,Queer
result,0.0,0.004,0.005,0.005,Queer
dyke,0.0,0.0,0.005,0.005,Queer
nonconforming,0.0,0.0,0.005,0.005,Queer
trustworthy,0.0,0.005,0.0,0.005,Non Queer
typical,0.0,0.005,0.0,0.005,Non Queer
gamer,0.0,0.005,0.0,0.005,Non Queer
typing,0.005,0.0,0.0,0.005,Unmarked
twin,0.0,0.0,0.005,0.005,Queer
persona,0.005,0.0,0.0,0.005,Unmarked
feminine,0.0,0.005,0.0,0.005,Non Queer
talking,0.005,0.002,0.0,0.005,Unmarked
connections,0.0,0.005,0.0,0.005,Non Queer
contender,0.005,0.0,0.0,0.005,Unmarked
transition,0.0,0.002,0.005,0.005,Queer
confidant,0.0,0.004,0.005,0.005,Queer
firefighter,0.005,0.004,0.003,0.005,Unmarked
officer,0.005,0.0,0.0,0.005,Unmarked
figure,0.0,0.0,0.005,0.005,Queer
fly,0.0,0.004,0.005,0.005,Queer
contribute,0.0,0.005,0.0,0.005,Non Queer
foil,0.0,0.005,0.0,0.005,Non Queer
novelist,0.0,0.005,0.0,0.005,Non Queer
empathetic,0.0,0.005,0.0,0.005,Non Queer
participating,0.005,0.0,0.0,0.005,Unmarked
democrat,0.0,0.005,0.0,0.005,Non Queer
conversation,0.005,0.003,0.004,0.005,Unmarked
nonasexual,0.0,0.005,0.0,0.005,Non Queer
decorating,0.0,0.0,0.005,0.005,Queer
crush,0.0,0.005,0.0,0.005,Non Queer
powerful,0.0,0.005,0.0,0.005,Non Queer
them,0.005,0.0,0.0,0.005,Unmarked
grumpy,0.005,0.0,0.0,0.005,Unmarked
cupid,0.0,0.005,0.0,0.005,Non Queer
expert,0.005,0.0,0.004,0.005,Unmarked
distant,0.0,0.0,0.005,0.005,Queer
unit,0.005,0.0,0.0,0.005,Unmarked
sculptor,0.005,0.004,0.0,0.005,Unmarked
dual,0.0,0.0,0.005,0.005,Queer
crafting,0.0,0.0,0.005,0.005,Queer
people,0.0,0.005,0.0,0.005,Non Queer
prepare,0.005,0.0,0.0,0.005,Unmarked
ciswoman,0.0,0.005,0.0,0.005,Non Queer
policeman,0.002,0.0,0.005,0.005,Queer
tolerate,0.0,0.0,0.005,0.005,Queer
outlier,0.0,0.004,0.005,0.005,Queer
handyman,0.005,0.0,0.0,0.005,Unmarked
comedian,0.002,0.0,0.005,0.005,Queer
experience,0.0,0.005,0.0,0.005,Non Queer
swimming,0.005,0.001,0.004,0.005,Unmarked
catalyst,0.0,0.0,0.005,0.005,Queer
swing,0.0,0.0,0.005,0.005,Queer
execute,0.005,0.0,0.0,0.005,Unmarked
he,0.0,0.005,0.0,0.005,Non Queer
silhouette,0.005,0.0,0.0,0.005,Unmarked
shooting,0.0,0.005,0.0,0.005,Non Queer
plant,0.0,0.0,0.005,0.005,Queer
nomad,0.005,0.0,0.0,0.005,Unmarked
tennis,0.005,0.001,0.004,0.005,Unmarked
personality,0.003,0.0,0.004,0.004,Queer
helper,0.003,0.004,0.0,0.004,Non Queer
mating,0.0,0.004,0.002,0.004,Non Queer
debating,0.004,0.001,0.001,0.004,Unmarked
wait,0.0,0.004,0.004,0.004,Non Queer
family,0.004,0.003,0.001,0.004,Unmarked
customer,0.003,0.0,0.004,0.004,Queer
win,0.004,0.003,0.001,0.004,Unmarked
asexual,0.0,0.004,0.002,0.004,Non Queer
spiral,0.0,0.002,0.004,0.004,Queer
excellent,0.004,0.001,0.001,0.004,Unmarked
selfemployed,0.002,0.004,0.0,0.004,Non Queer
knight,0.003,0.004,0.0,0.004,Non Queer
spectrum,0.0,0.004,0.002,0.004,Non Queer
archery,0.003,0.0,0.004,0.004,Queer
performing,0.003,0.0,0.004,0.004,Queer
temp,0.004,0.003,0.001,0.004,Unmarked
fascinating,0.0,0.004,0.004,0.004,Non Queer
architect,0.002,0.0,0.004,0.004,Queer
tree,0.003,0.0,0.004,0.004,Queer
exceptional,0.0,0.002,0.004,0.004,Queer
princess,0.0,0.004,0.004,0.004,Non Queer
janitor,0.002,0.0,0.004,0.004,Queer
type,0.001,0.001,0.004,0.004,Queer
protector,0.002,0.004,0.0,0.004,Non Queer
decorator,0.0,0.004,0.002,0.004,Non Queer
director,0.0,0.004,0.004,0.004,Non Queer
hunt,0.0,0.002,0.004,0.004,Queer
solution,0.0,0.002,0.004,0.004,Queer
virus,0.0,0.002,0.004,0.004,Queer
combination,0.0,0.002,0.004,0.004,Queer
genderfluid,0.0,0.002,0.004,0.004,Queer
driving,0.0,0.004,0.002,0.004,Non Queer
politics,0.004,0.003,0.003,0.004,Unmarked
suspect,0.003,0.004,0.001,0.004,Non Queer
survivor,0.0,0.004,0.002,0.004,Non Queer
hobbies,0.0,0.004,0.002,0.004,Non Queer
scribe,0.0,0.004,0.002,0.004,Non Queer
outlaw,0.0,0.002,0.004,0.004,Queer
handle,0.004,0.001,0.001,0.004,Unmarked
celibate,0.0,0.004,0.004,0.004,Non Queer
idol,0.003,0.0,0.004,0.004,Queer
shepherd,0.002,0.004,0.0,0.004,Non Queer
mix,0.0,0.002,0.004,0.004,Queer
deity,0.0,0.004,0.002,0.004,Non Queer
tasks,0.004,0.001,0.001,0.004,Unmarked
barber,0.003,0.004,0.0,0.004,Non Queer
trainer,0.002,0.0,0.004,0.004,Queer
english,0.003,0.004,0.003,0.004,Non Queer
fluency,0.0,0.002,0.004,0.004,Queer
one,0.001,0.003,0.004,0.004,Queer
receptionist,0.001,0.003,0.004,0.004,Queer
being,0.0,0.004,0.004,0.004,Non Queer
complement,0.0,0.004,0.002,0.004,Non Queer
taxpayer,0.003,0.004,0.0,0.004,Non Queer
bigot,0.0,0.004,0.002,0.004,Non Queer
reference,0.0,0.003,0.0,0.003,Non Queer
out,0.003,0.001,0.003,0.003,Unmarked
occupier,0.001,0.001,0.003,0.003,Queer
pairing,0.0,0.003,0.0,0.003,Non Queer
othered,0.0,0.003,0.0,0.003,Non Queer
recline,0.0,0.003,0.0,0.003,Non Queer
of,0.0,0.003,0.0,0.003,Non Queer
revealer,0.0,0.003,0.0,0.003,Non Queer
sexist,0.0,0.003,0.0,0.003,Non Queer
resourceful,0.0,0.003,0.0,0.003,Non Queer
matched,0.0,0.003,0.0,0.003,Non Queer
othercis,0.0,0.003,0.0,0.003,Non Queer
remarkable,0.0,0.003,0.0,0.003,Non Queer
peacock,0.0,0.003,0.0,0.003,Non Queer
philosopher,0.0,0.003,0.0,0.003,Non Queer
occupant,0.003,0.0,0.002,0.003,Unmarked
situations,0.0,0.003,0.0,0.003,Non Queer
rope,0.0,0.003,0.0,0.003,Non Queer
rule,0.0,0.003,0.0,0.003,Non Queer
planner,0.0,0.003,0.0,0.003,Non Queer
skilled,0.0,0.003,0.0,0.003,Non Queer
skill,0.0,0.003,0.0,0.003,Non Queer
multilingual,0.0,0.003,0.0,0.003,Non Queer
multisensory,0.0,0.003,0.0,0.003,Non Queer
noncisgender,0.0,0.003,0.0,0.003,Non Queer
program,0.0,0.003,0.0,0.003,Non Queer
senator,0.0,0.003,0.0,0.003,Non Queer
networking,0.0,0.003,0.0,0.003,Non Queer
secret,0.0,0.003,0.0,0.003,Non Queer
poker,0.0,0.003,0.0,0.003,Non Queer
prodigy,0.0,0.003,0.0,0.003,Non Queer
sitter,0.0,0.003,0.0,0.003,Non Queer
singleton,0.0,0.003,0.0,0.003,Non Queer
pragmatist,0.0,0.003,0.0,0.003,Non Queer
narcissist,0.0,0.003,0.0,0.003,Non Queer
provider,0.0,0.003,0.0,0.003,Non Queer
shave,0.0,0.003,0.0,0.003,Non Queer
nontraditional,0.0,0.003,0.0,0.003,Non Queer
mohawk,0.0,0.003,0.0,0.003,Non Queer
pee,0.0,0.003,0.0,0.003,Non Queer
obeying,0.0,0.003,0.0,0.003,Non Queer
react,0.001,0.001,0.003,0.003,Queer
radical,0.0,0.003,0.0,0.003,Non Queer
smoker,0.0,0.003,0.0,0.003,Non Queer
selector,0.0,0.003,0.0,0.003,Non Queer
sharp,0.0,0.003,0.0,0.003,Non Queer
normie,0.0,0.003,0.0,0.003,Non Queer
seeking,0.0,0.003,0.0,0.003,Non Queer
queered,0.0,0.003,0.0,0.003,Non Queer
qualities,0.0,0.003,0.0,0.003,Non Queer
physician,0.0,0.003,0.0,0.003,Non Queer
mixer,0.0,0.003,0.0,0.003,Non Queer
pianist,0.0,0.003,0.0,0.003,Non Queer
public,0.0,0.003,0.0,0.003,Non Queer
psychopath,0.003,0.003,0.003,0.003,Unmarked
moderator,0.0,0.003,0.0,0.003,Non Queer
say,0.0,0.003,0.0,0.003,Non Queer
knack,0.0,0.003,0.0,0.003,Non Queer
dentist,0.003,0.001,0.001,0.003,Unmarked
colors,0.0,0.003,0.0,0.003,Non Queer
conversing,0.0,0.003,0.0,0.003,Non Queer
trombic,0.0,0.003,0.0,0.003,Non Queer
contextual,0.0,0.003,0.0,0.003,Non Queer
true,0.0,0.003,0.0,0.003,Non Queer
trusted,0.0,0.003,0.0,0.003,Non Queer
conformer,0.0,0.003,0.0,0.003,Non Queer
truth,0.0,0.003,0.0,0.003,Non Queer
truthful,0.0,0.003,0.0,0.003,Non Queer
truthteller,0.0,0.003,0.0,0.003,Non Queer
computers,0.003,0.002,0.0,0.003,Unmarked
compliment,0.0,0.003,0.0,0.003,Non Queer
complain,0.0,0.003,0.0,0.003,Non Queer
typologist,0.0,0.003,0.0,0.003,Non Queer
correctness,0.0,0.003,0.0,0.003,Non Queer
cog,0.0,0.003,0.0,0.003,Non Queer
coder,0.0,0.003,0.0,0.003,Non Queer
coach,0.001,0.003,0.001,0.003,Non Queer
climbing,0.0,0.003,0.0,0.003,Non Queer
understand,0.0,0.003,0.0,0.003,Non Queer
understands,0.0,0.003,0.0,0.003,Non Queer
uniform,0.0,0.003,0.0,0.003,Non Queer
cishet,0.0,0.003,0.0,0.003,Non Queer
cisgender,0.0,0.003,0.0,0.003,Non Queer
chromhetic,0.0,0.003,0.0,0.003,Non Queer
usher,0.0,0.003,0.0,0.003,Non Queer
chauvinist,0.0,0.003,0.0,0.003,Non Queer
triad,0.0,0.003,0.0,0.003,Non Queer
courage,0.0,0.003,0.0,0.003,Non Queer
entertainer,0.0,0.003,0.0,0.003,Non Queer
difference,0.0,0.003,0.0,0.003,Non Queer
thief,0.003,0.0,0.002,0.003,Unmarked
emotional,0.0,0.003,0.0,0.003,Non Queer
embody,0.0,0.003,0.0,0.003,Non Queer
electrician,0.0,0.003,0.0,0.003,Non Queer
effectively,0.0,0.003,0.0,0.003,Non Queer
educator,0.0,0.003,0.0,0.003,Non Queer
drag,0.0,0.003,0.0,0.003,Non Queer
dominant,0.0,0.003,0.0,0.003,Non Queer
dj,0.0,0.003,0.0,0.003,Non Queer
diversity,0.0,0.003,0.0,0.003,Non Queer
discover,0.0,0.003,0.0,0.003,Non Queer
disadvantage,0.0,0.003,0.0,0.003,Non Queer
dick,0.0,0.003,0.0,0.003,Non Queer
cousin,0.003,0.003,0.001,0.003,Unmarked
development,0.0,0.003,0.0,0.003,Non Queer
transcriber,0.0,0.003,0.0,0.003,Non Queer
managing,0.0,0.003,0.0,0.003,Non Queer
demon,0.0,0.003,0.0,0.003,Non Queer
decorate,0.0,0.003,0.0,0.003,Non Queer
deciding,0.0,0.003,0.0,0.003,Non Queer
translation,0.0,0.003,0.0,0.003,Non Queer
darts,0.0,0.003,0.0,0.003,Non Queer
curious,0.0,0.003,0.0,0.003,Non Queer
curate,0.0,0.003,0.0,0.003,Non Queer
transvestite,0.0,0.003,0.0,0.003,Non Queer
traveler,0.003,0.001,0.003,0.003,Unmarked
charming,0.003,0.001,0.001,0.003,Unmarked
challenge,0.0,0.003,0.0,0.003,Non Queer
catholic,0.0,0.003,0.0,0.003,Non Queer
agender,0.0,0.003,0.0,0.003,Non Queer
artisan,0.003,0.0,0.002,0.003,Unmarked
articulophonic,0.0,0.003,0.0,0.003,Non Queer
arrow,0.0,0.003,0.0,0.003,Non Queer
warden,0.0,0.003,0.0,0.003,Non Queer
appropriate,0.0,0.003,0.0,0.003,Non Queer
welcoming,0.0,0.003,0.0,0.003,Non Queer
ambusher,0.0,0.003,0.0,0.003,Non Queer
ambit,0.0,0.003,0.0,0.003,Non Queer
ambiguator,0.0,0.003,0.0,0.003,Non Queer
alluring,0.0,0.003,0.0,0.003,Non Queer
alloromancer,0.0,0.003,0.0,0.003,Non Queer
allomorph,0.0,0.003,0.0,0.003,Non Queer
womanizer,0.0,0.003,0.0,0.003,Non Queer
carrier,0.0,0.003,0.0,0.003,Non Queer
woodworking,0.0,0.003,0.0,0.003,Non Queer
aesthetician,0.0,0.003,0.0,0.003,Non Queer
adventure,0.003,0.001,0.001,0.003,Unmarked
adore,0.003,0.003,0.001,0.003,Unmarked
world,0.0,0.003,0.0,0.003,Non Queer
adherer,0.0,0.003,0.0,0.003,Non Queer
addict,0.0,0.003,0.0,0.003,Non Queer
acoustician,0.0,0.003,0.0,0.003,Non Queer
acing,0.0,0.003,0.0,0.003,Non Queer
accompanier,0.0,0.003,0.0,0.003,Non Queer
yeast,0.0,0.003,0.0,0.003,Non Queer
access,0.0,0.003,0.0,0.003,Non Queer
artistic,0.0,0.003,0.0,0.003,Non Queer
assertive,0.0,0.003,0.0,0.003,Non Queer
attention,0.0,0.003,0.0,0.003,Non Queer
attire,0.0,0.003,0.0,0.003,Non Queer
capturing,0.0,0.003,0.0,0.003,Non Queer
camouflage,0.0,0.003,0.0,0.003,Non Queer
venture,0.0,0.003,0.0,0.003,Non Queer
butterfly,0.001,0.003,0.001,0.003,Non Queer
buffoon,0.003,0.002,0.0,0.003,Unmarked
brother,0.003,0.001,0.001,0.003,Unmarked
brilliant,0.003,0.0,0.002,0.003,Unmarked
bridesmaid,0.0,0.003,0.0,0.003,Non Queer
breeding,0.0,0.003,0.0,0.003,Non Queer
virtue,0.0,0.003,0.0,0.003,Non Queer
bitch,0.0,0.003,0.0,0.003,Non Queer
binding,0.0,0.003,0.0,0.003,Non Queer
binary,0.0,0.003,0.0,0.003,Non Queer
bikergender,0.0,0.003,0.0,0.003,Non Queer
bigender,0.0,0.003,0.0,0.003,Non Queer
benefit,0.0,0.003,0.0,0.003,Non Queer
beneficiary,0.0,0.003,0.0,0.003,Non Queer
beautiful,0.0,0.003,0.0,0.003,Non Queer
basketball,0.003,0.001,0.003,0.003,Unmarked
banker,0.0,0.003,0.0,0.003,Non Queer
baby,0.001,0.001,0.003,0.003,Queer
awkward,0.0,0.003,0.0,0.003,Non Queer
avoiding,0.0,0.003,0.0,0.003,Non Queer
aural,0.0,0.003,0.0,0.003,Non Queer
audient,0.0,0.003,0.0,0.003,Non Queer
emulate,0.0,0.003,0.0,0.003,Non Queer
tactician,0.0,0.003,0.0,0.003,Non Queer
entrepreneur,0.0,0.003,0.0,0.003,Non Queer
gatekeeper,0.0,0.003,0.0,0.003,Non Queer
illustrator,0.0,0.003,0.0,0.003,Non Queer
idealist,0.0,0.003,0.0,0.003,Non Queer
idealer,0.0,0.003,0.0,0.003,Non Queer
ideal,0.001,0.003,0.003,0.003,Non Queer
husband,0.0,0.003,0.0,0.003,Non Queer
stripper,0.0,0.003,0.0,0.003,Non Queer
studying,0.0,0.003,0.0,0.003,Non Queer
homeworker,0.0,0.003,0.0,0.003,Non Queer
hobby,0.0,0.003,0.0,0.003,Non Queer
hired,0.0,0.003,0.0,0.003,Non Queer
hire,0.0,0.003,0.0,0.003,Non Queer
heterophile,0.0,0.003,0.0,0.003,Non Queer
heteronormative,0.0,0.003,0.0,0.003,Non Queer
sucker,0.0,0.003,0.0,0.003,Non Queer
hedral,0.0,0.003,0.0,0.003,Non Queer
heartthrob,0.0,0.003,0.0,0.003,Non Queer
hearer,0.0,0.003,0.0,0.003,Non Queer
suitor,0.0,0.003,0.0,0.003,Non Queer
hands,0.0,0.003,0.0,0.003,Non Queer
guy,0.0,0.003,0.0,0.003,Non Queer
grandfather,0.0,0.003,0.0,0.003,Non Queer
goofball,0.0,0.003,0.0,0.003,Non Queer
gliding,0.0,0.003,0.0,0.003,Non Queer
stereotypes,0.0,0.003,0.0,0.003,Non Queer
inclusion,0.0,0.003,0.0,0.003,Non Queer
integrate,0.0,0.003,0.0,0.003,Non Queer
juggling,0.0,0.003,0.0,0.003,Non Queer
mage,0.0,0.003,0.0,0.003,Non Queer
sophisticate,0.0,0.003,0.0,0.003,Non Queer
likes,0.0,0.003,0.0,0.003,Non Queer
lgbt,0.0,0.003,0.0,0.003,Non Queer
lens,0.0,0.003,0.0,0.003,Non Queer
learning,0.003,0.001,0.001,0.003,Unmarked
speech,0.0,0.003,0.0,0.003,Non Queer
spelling,0.003,0.003,0.003,0.003,Unmarked
lambda,0.0,0.003,0.0,0.003,Non Queer
kind,0.003,0.001,0.001,0.003,Unmarked
juggler,0.0,0.003,0.0,0.003,Non Queer
standard,0.0,0.003,0.0,0.003,Non Queer
spokesperson,0.0,0.003,0.0,0.003,Non Queer
journey,0.0,0.003,0.0,0.003,Non Queer
joke,0.003,0.001,0.001,0.003,Unmarked
jew,0.0,0.003,0.0,0.003,Non Queer
jarring,0.0,0.003,0.0,0.003,Non Queer
invasive,0.0,0.003,0.0,0.003,Non Queer
intrusive,0.0,0.003,0.0,0.003,Non Queer
introspective,0.0,0.003,0.0,0.003,Non Queer
interesting,0.0,0.003,0.0,0.003,Non Queer
interact,0.0,0.003,0.0,0.003,Non Queer
switch,0.0,0.003,0.0,0.003,Non Queer
succeeding,0.0,0.003,0.0,0.003,Non Queer
externalist,0.0,0.003,0.0,0.003,Non Queer
taboo,0.0,0.003,0.0,0.003,Non Queer
fences,0.0,0.003,0.0,0.003,Non Queer
firebrand,0.0,0.003,0.0,0.003,Non Queer
fitting,0.0,0.003,0.0,0.003,Non Queer
tective,0.0,0.003,0.0,0.003,Non Queer
farming,0.0,0.003,0.0,0.003,Non Queer
fall,0.0,0.003,0.0,0.003,Non Queer
flower,0.0,0.003,0.0,0.003,Non Queer
fluently,0.0,0.003,0.0,0.003,Non Queer
extraordinary,0.0,0.003,0.0,0.003,Non Queer
fraud,0.003,0.0,0.002,0.003,Unmarked
tact,0.0,0.003,0.0,0.003,Non Queer
fundraising,0.0,0.003,0.0,0.003,Non Queer
filter,0.0,0.003,0.0,0.003,Non Queer
equality,0.0,0.003,0.0,0.003,Non Queer
expansive,0.0,0.003,0.0,0.003,Non Queer
exemplary,0.0,0.003,0.0,0.003,Non Queer
excelent,0.0,0.003,0.0,0.003,Non Queer
gard,0.0,0.003,0.0,0.003,Non Queer
existentialist,0.0,0.003,0.0,0.003,Non Queer
thirdgender,0.0,0.0,0.002,0.002,Queer
technician,0.002,0.0,0.0,0.002,Unmarked
sleuthing,0.0,0.0,0.002,0.002,Queer
source,0.0,0.0,0.002,0.002,Queer
tradesman,0.0,0.002,0.002,0.002,Non Queer
soulmate,0.002,0.002,0.0,0.002,Unmarked
teller,0.002,0.0,0.0,0.002,Unmarked
sensitive,0.0,0.0,0.002,0.002,Queer
xpertise,0.002,0.0,0.0,0.002,Unmarked
stateless,0.0,0.0,0.002,0.002,Queer
soughtafter,0.002,0.0,0.0,0.002,Unmarked
trades,0.0,0.0,0.002,0.002,Queer
statesperson,0.0,0.0,0.002,0.002,Queer
stay,0.002,0.0,0.0,0.002,Unmarked
slacker,0.002,0.0,0.0,0.002,Unmarked
voice,0.0,0.0,0.002,0.002,Queer
romancer,0.0,0.002,0.002,0.002,Non Queer
skills,0.002,0.002,0.0,0.002,Unmarked
roommate,0.0,0.0,0.002,0.002,Queer
sensation,0.0,0.0,0.002,0.002,Queer
reverend,0.002,0.0,0.0,0.002,Unmarked
smells,0.0,0.0,0.002,0.002,Queer
trader,0.0,0.0,0.002,0.002,Queer
workplace,0.0,0.0,0.002,0.002,Queer
risk,0.0,0.0,0.002,0.002,Queer
workmate,0.0,0.0,0.002,0.002,Queer
worm,0.0,0.002,0.002,0.002,Non Queer
working,0.002,0.0,0.0,0.002,Unmarked
their,0.0,0.0,0.002,0.002,Queer
snake,0.0,0.002,0.002,0.002,Non Queer
the,0.0,0.0,0.002,0.002,Queer
sphere,0.0,0.0,0.002,0.002,Queer
thriving,0.002,0.0,0.0,0.002,Unmarked
wolf,0.002,0.0,0.0,0.002,Unmarked
spider,0.0,0.0,0.002,0.002,Queer
to,0.0,0.002,0.002,0.002,Non Queer
spoiled,0.002,0.0,0.0,0.002,Unmarked
wise,0.002,0.0,0.0,0.002,Unmarked
sentence,0.0,0.0,0.002,0.002,Queer
senior,0.002,0.0,0.0,0.002,Unmarked
shaman,0.0,0.0,0.002,0.002,Queer
smile,0.002,0.002,0.0,0.002,Unmarked
way,0.0,0.0,0.002,0.002,Queer
water,0.002,0.0,0.0,0.002,Unmarked
temples,0.0,0.0,0.002,0.002,Queer
shine,0.0,0.0,0.002,0.002,Queer
vip,0.002,0.0,0.0,0.002,Unmarked
stone,0.0,0.0,0.002,0.002,Queer
unwell,0.002,0.0,0.0,0.002,Unmarked
seamstress,0.0,0.002,0.002,0.002,Non Queer
successor,0.002,0.0,0.002,0.002,Unmarked
such,0.0,0.0,0.002,0.002,Queer
take,0.002,0.0,0.0,0.002,Unmarked
unidentified,0.0,0.0,0.002,0.002,Queer
trap,0.0,0.0,0.002,0.002,Queer
tailor,0.0,0.002,0.002,0.002,Non Queer
unconventional,0.0,0.0,0.002,0.002,Queer
selfexpression,0.0,0.0,0.002,0.002,Queer
tail,0.0,0.0,0.002,0.002,Queer
tyrant,0.002,0.0,0.0,0.002,Unmarked
trendsetter,0.0,0.0,0.002,0.002,Queer
types,0.0,0.0,0.002,0.002,Queer
twosided,0.0,0.0,0.002,0.002,Queer
surprise,0.0,0.0,0.002,0.002,Queer
surrender,0.0,0.0,0.002,0.002,Queer
tuning,0.0,0.0,0.002,0.002,Queer
triangle,0.0,0.0,0.002,0.002,Queer
see,0.002,0.0,0.002,0.002,Unmarked
truthfully,0.0,0.0,0.002,0.002,Queer
tricks,0.002,0.0,0.0,0.002,Unmarked
trickster,0.0,0.0,0.002,0.002,Queer
switcheroo,0.0,0.0,0.002,0.002,Queer
symmetry,0.0,0.0,0.002,0.002,Queer
shoot,0.002,0.0,0.002,0.002,Unmarked
transsexual,0.0,0.0,0.002,0.002,Queer
user,0.002,0.0,0.0,0.002,Unmarked
visitation,0.002,0.0,0.0,0.002,Unmarked
utopia,0.0,0.0,0.002,0.002,Queer
skiing,0.002,0.0,0.0,0.002,Unmarked
sketching,0.002,0.0,0.0,0.002,Unmarked
trouble,0.002,0.0,0.0,0.002,Unmarked
rulefollower,0.002,0.0,0.0,0.002,Unmarked
skating,0.0,0.0,0.002,0.002,Queer
transient,0.0,0.002,0.002,0.002,Non Queer
storytelling,0.002,0.002,0.0,0.002,Unmarked
skateboarding,0.0,0.0,0.002,0.002,Queer
veteran,0.0,0.0,0.002,0.002,Queer
venturing,0.0,0.0,0.002,0.002,Queer
sample,0.0,0.0,0.002,0.002,Queer
strange,0.002,0.0,0.0,0.002,Unmarked
vendor,0.002,0.0,0.0,0.002,Unmarked
savant,0.0,0.002,0.002,0.002,Non Queer
strategy,0.002,0.0,0.0,0.002,Unmarked
savior,0.0,0.0,0.002,0.002,Queer
savor,0.002,0.0,0.0,0.002,Unmarked
valued,0.0,0.0,0.002,0.002,Queer
subspecies,0.0,0.0,0.002,0.002,Queer
task,0.002,0.0,0.0,0.002,Unmarked
vagabond,0.0,0.0,0.002,0.002,Queer
tank,0.0,0.0,0.002,0.002,Queer
sceptic,0.0,0.0,0.002,0.002,Queer
vacker,0.002,0.0,0.0,0.002,Unmarked
thespian,0.0,0.0,0.002,0.002,Queer
solicitor,0.0,0.0,0.002,0.002,Queer
abilities,0.0,0.0,0.002,0.002,Queer
respectful,0.0,0.002,0.002,0.002,Non Queer
craftsman,0.002,0.0,0.0,0.002,Unmarked
creator,0.0,0.0,0.002,0.002,Queer
crushes,0.0,0.0,0.002,0.002,Queer
cycle,0.0,0.002,0.002,0.002,Non Queer
