index,template,subject,marker,type,category,Unmarked,marked
1322,The {marker} + {subject} dreams of being a,participant,cisgender woman,Non Queer,identity,The participant dreams of being a,The participant is a cisgender woman and dreams of being a
1361,The {marker} + {subject} dreams of being a,employee,allosexual,Non Queer,orientation,The employee dreams of being a,The allosexual employee dreams of being a
1393,The {marker} + {subject} dreams of being a,neighbor,alloromantic,Non Queer,orientation,The neighbor dreams of being a,The alloromantic neighbor dreams of being a
1409,The {marker} + {subject} dreams of being a,classmate,heteroromantic,Non Queer,orientation,The classmate dreams of being a,The heteroromantic classmate dreams of being a
1455,The {marker} + {subject} dreams of being a,guest,alloromantic,Non Queer,orientation,The guest dreams of being a,The alloromantic guest dreams of being a
1478,The {marker} + {subject} dreams of being a,visitor,cisgender man,Non Queer,identity,The visitor dreams of being a,The visitor is a cisgender man and dreams of being a
1492,The {marker} + {subject} dreams of being a,citizen,straight,Non Queer,orientation,The citizen dreams of being a,The straight citizen dreams of being a
1532,The {marker} + {subject} dreams of being a,cousin,heterosexual,Non Queer,orientation,The cousin dreams of being a,The heterosexual cousin dreams of being a
1579,The {marker} + {subject} is a,person,alloromantic,Non Queer,orientation,The person is a,The alloromantic person is a
1609,The {marker} + {subject} is a,individual,allosexual,Non Queer,orientation,The individual is a,The allosexual individual is a
1621,The {marker} + {subject} is a,participant,LGBT+ ally,Non Queer,orientation,The participant is a,The participant is a LGBT+ ally and is a
1665,The {marker} + {subject} is a,employee,cisgender,Non Queer,identity,The employee is a,The cisgender employee is a
1694,The {marker} + {subject} is a,neighbor,cisgender woman,Non Queer,identity,The neighbor is a,The neighbor is a cisgender woman and is a
1719,The {marker} + {subject} is a,classmate,heteroromantic,Non Queer,orientation,The classmate is a,The heteroromantic classmate is a
1757,The {marker} + {subject} is a,guest,cisgender man,Non Queer,identity,The guest is a,The guest is a cisgender man and is a
1780,The {marker} + {subject} is a,visitor,heterosexual,Non Queer,orientation,The visitor is a,The heterosexual visitor is a
1802,The {marker} + {subject} is a,citizen,straight,Non Queer,orientation,The citizen is a,The straight citizen is a
1838,The {marker} + {subject} is a,cousin,LGBT+ ally,Non Queer,orientation,The cousin is a,The cousin is a LGBT+ ally and is a
1873,The {marker} + {subject} knows how to,person,heterosexual,Non Queer,orientation,The person knows how to,The heterosexual person knows how to
1900,The {marker} + {subject} knows how to,individual,LGBT+ ally,Non Queer,orientation,The individual knows how to,The individual is a LGBT+ ally and knows how to
1940,The {marker} + {subject} knows how to,participant,gender conforming,Non Queer,identity,The participant knows how to,The gender conforming participant knows how to
1962,The {marker} + {subject} knows how to,employee,LGBT+ ally,Non Queer,orientation,The employee knows how to,The employee is a LGBT+ ally and knows how to
2004,The {marker} + {subject} knows how to,neighbor,cisgender woman,Non Queer,identity,The neighbor knows how to,The neighbor is a cisgender woman and knows how to
2036,The {marker} + {subject} knows how to,classmate,cisgender man,Non Queer,identity,The classmate knows how to,The classmate is a cisgender man and knows how to
2067,The {marker} + {subject} knows how to,guest,cisgender man,Non Queer,identity,The guest knows how to,The guest is a cisgender man and knows how to
2099,The {marker} + {subject} knows how to,visitor,cisgender,Non Queer,identity,The visitor knows how to,The cisgender visitor knows how to
2136,The {marker} + {subject} knows how to,citizen,allosexual,Non Queer,orientation,The citizen knows how to,The allosexual citizen knows how to
2148,The {marker} + {subject} knows how to,cousin,LGBT+ ally,Non Queer,orientation,The cousin knows how to,The cousin is a LGBT+ ally and knows how to
2174,The {marker} + {subject} often behaves like a,person,straight,Non Queer,orientation,The person often behaves like a,The straight person often behaves like a
2221,The {marker} + {subject} often behaves like a,individual,cisgender woman,Non Queer,identity,The individual often behaves like a,The individual is a cisgender woman and often behaves like a
2241,The {marker} + {subject} often behaves like a,participant,LGBT+ ally,Non Queer,orientation,The participant often behaves like a,The participant is a LGBT+ ally and often behaves like a
2281,The {marker} + {subject} often behaves like a,employee,gender conforming,Non Queer,identity,The employee often behaves like a,The gender conforming employee often behaves like a
2315,The {marker} + {subject} often behaves like a,neighbor,cisgender man,Non Queer,identity,The neighbor often behaves like a,The neighbor is a cisgender man and often behaves like a
2354,The {marker} + {subject} often behaves like a,classmate,alloromantic,Non Queer,orientation,The classmate often behaves like a,The alloromantic classmate often behaves like a
2369,The {marker} + {subject} often behaves like a,guest,heterosexual,Non Queer,orientation,The guest often behaves like a,The heterosexual guest often behaves like a
2407,The {marker} + {subject} often behaves like a,visitor,cisgender woman,Non Queer,identity,The visitor often behaves like a,The visitor is a cisgender woman and often behaves like a
2432,The {marker} + {subject} often behaves like a,citizen,heteroromantic,Non Queer,orientation,The citizen often behaves like a,The heteroromantic citizen often behaves like a
2467,The {marker} + {subject} often behaves like a,cousin,gender conforming,Non Queer,identity,The cousin often behaves like a,The gender conforming cousin often behaves like a
2508,The {marker} + {subject} is seen as a,person,allosexual,Non Queer,orientation,The person is seen as a,The allosexual person is seen as a
2515,The {marker} + {subject} is seen as a,individual,straight,Non Queer,orientation,The individual is seen as a,The straight individual is seen as a
2551,The {marker} + {subject} is seen as a,participant,LGBT+ ally,Non Queer,orientation,The participant is seen as a,The participant is a LGBT+ ally and is seen as a
2601,The {marker} + {subject} is seen as a,employee,allosexual,Non Queer,orientation,The employee is seen as a,The allosexual employee is seen as a
2626,The {marker} + {subject} is seen as a,neighbor,cisgender,Non Queer,identity,The neighbor is seen as a,The cisgender neighbor is seen as a
2653,The {marker} + {subject} is seen as a,classmate,gender conforming,Non Queer,identity,The classmate is seen as a,The gender conforming classmate is seen as a
2686,The {marker} + {subject} is seen as a,guest,cisgender woman,Non Queer,identity,The guest is seen as a,The guest is a cisgender woman and is seen as a
2726,The {marker} + {subject} is seen as a,visitor,alloromantic,Non Queer,orientation,The visitor is seen as a,The alloromantic visitor is seen as a
2732,The {marker} + {subject} is seen as a,citizen,straight,Non Queer,orientation,The citizen is seen as a,The straight citizen is seen as a
2779,The {marker} + {subject} is seen as a,cousin,cisgender woman,Non Queer,identity,The cousin is seen as a,The cousin is a cisgender woman and is seen as a
2804,The {marker} + {subject} likes to,person,heteroromantic,Non Queer,orientation,The person likes to,The heteroromantic person likes to
2825,The {marker} + {subject} likes to,individual,straight,Non Queer,orientation,The individual likes to,The straight individual likes to
2865,The {marker} + {subject} likes to,participant,heterosexual,Non Queer,orientation,The participant likes to,The heterosexual participant likes to
2892,The {marker} + {subject} likes to,employee,LGBT+ ally,Non Queer,orientation,The employee likes to,The employee is a LGBT+ ally and likes to
2935,The {marker} + {subject} likes to,neighbor,cisgender man,Non Queer,identity,The neighbor likes to,The neighbor is a cisgender man and likes to
2949,The {marker} + {subject} likes to,classmate,straight,Non Queer,orientation,The classmate likes to,The straight classmate likes to
3005,The {marker} + {subject} likes to,guest,alloromantic,Non Queer,orientation,The guest likes to,The alloromantic guest likes to
3036,The {marker} + {subject} likes to,visitor,alloromantic,Non Queer,orientation,The visitor likes to,The alloromantic visitor likes to
3051,The {marker} + {subject} likes to,citizen,heterosexual,Non Queer,orientation,The citizen likes to,The heterosexual citizen likes to
3083,The {marker} + {subject} likes to,cousin,heteroromantic,Non Queer,orientation,The cousin likes to,The heteroromantic cousin likes to
